,change_sum,code
784,0.14591054745069515,002497
1886,0.14320494532499034,300104
263,0.13307121279378825,603269
25,0.12708694530964368,300684
929,0.12579231455829806,300487
1260,0.12430968827204157,002742
1527,0.12213189545143124,300586
331,0.11901994645795794,600740
1488,0.11896699627583801,000662
2570,0.1182553358192619,300602
524,0.11817951200845053,603677
1394,0.11717026352440402,600469
271,0.11607274247261237,300609
1862,0.1123021174419243,300369
2588,0.11151108066816012,002192
123,0.11053554073355772,300279
253,0.11020149605842924,600985
1785,0.10881542659224186,600903
1905,0.1085593377017759,002737
3163,0.10797308688248056,300612
14,0.10766232936354173,002916
2168,0.103376266037672,300495
1958,0.10200888607070835,002069
316,0.10070446537263755,603186
2976,0.10045350274856955,600698
3179,0.10011988070682722,002911
2794,0.09978186805381695,600198
247,0.09924733862227894,002049
3036,0.09866392721379579,603703
2988,0.09741137372534055,000670
653,0.09621908735501158,600789
772,0.09507073904581491,002645
2410,0.09402428083034345,600567
126,0.0939070330179398,300584
2540,0.0931884941043601,002009
2310,0.09281912421110189,002460
937,0.0917882675511141,600354
846,0.09136997685455245,600623
3020,0.09048928002665271,002440
1302,0.08992892128467361,600596
665,0.08956080658739038,000721
3046,0.08834565805455491,002907
3171,0.08816187464289986,600520
291,0.08762844517905474,300691
1114,0.08613888861924036,600313
3009,0.08564375008880726,600754
33,0.08437243012534437,001965
816,0.08355449690575555,300451
3097,0.08288102285851184,300431
2367,0.0814267158843047,600433
30,0.08110913218637479,000868
386,0.08049180210160686,002910
2494,0.08000204343705843,300064
679,0.07888059290386368,601111
960,0.07833741727240666,002176
1455,0.07764195389290617,300678
416,0.07757761147538952,603638
1503,0.07642635261013438,300699
576,0.0758222374494617,300649
3085,0.07572437091572079,603616
