,level_0,index,open,close,high,low,volume,money,datetime,date,MACD,MACDsignal,MACDhist,RSI5,RSI12,RSI30,SAR,slowk,slowd,upper,middle,lower,MOM,opt,last_p,sar_diff_day
0,0,2019-06-26 13:50:00,13.36,13.36,13.37,13.35,197400.0,2636426.0,2019-06-26 13:50:00,2019-06-26,-0.008369254511389812,-0.00021817520236449498,-0.008151079309025318,42.9983336445779,46.451200067089545,51.33741641147426,13.393657900000001,29.629629629629033,28.240740740740147,13.371063349922222,13.358414239297517,13.345765128672811,0.009999999999999787,0.0,13.36,-0.10368500000000047
1,1,2019-06-26 13:55:00,13.37,13.39,13.41,13.37,591500.0,7921024.0,2019-06-26 13:55:00,2019-06-26,-0.006599381740853616,-0.0014944165100623194,-0.005104965230791297,63.14138141134181,53.0578817635367,53.43936484475174,13.33,44.44444444444421,33.64197530864151,13.387468651791671,13.360339331868275,13.333210011944878,0.02000000000000135,0.0,13.36,-0.10368500000000047
2,2,2019-06-26 14:00:00,13.4,13.37,13.41,13.36,388100.0,5192701.0,2019-06-26 14:00:00,2019-06-26,-0.006732964251220608,-0.002542126058293977,-0.004190838192926631,48.77739495166762,48.68907840810952,51.89349884332586,13.334,49.99999999999962,41.35802469135762,13.390456859756997,13.363327539835694,13.336198219914392,0.009999999999999787,0.0,13.36,-0.10368500000000047
3,3,2019-06-26 14:05:00,13.37,13.38,13.4,13.36,539200.0,7222080.0,2019-06-26 14:05:00,2019-06-26,-0.0059631731781326636,-0.0032263354822617144,-0.002736837695870949,55.15368016715083,50.89454699576657,52.60268067173841,13.3378,59.72222222222234,51.38888888888872,13.390446592362581,13.367122784795583,13.343798977228586,0.030000000000001137,0.0,13.36,-0.08031650000000035
4,4,2019-06-26 14:10:00,13.39,13.39,13.41,13.37,572300.0,7667842.0,2019-06-26 14:10:00,2019-06-26,-0.004494383326818507,-0.003479945051173073,-0.0010144382756454343,61.192255500807704,53.093967756497506,53.31464421765853,13.34141,62.500000000000085,57.407407407407355,13.395479513874351,13.372155706307353,13.348831898740356,0.030000000000001137,0.0,13.36,-0.08031650000000035
5,5,2019-06-26 14:15:00,13.39,13.4,13.41,13.38,327000.0,4380854.0,2019-06-26 14:15:00,2019-06-26,-0.0024946832059669077,-0.00328289268213184,0.0007882094761649324,66.78309314249488,55.27909985028418,54.02899452698797,13.344839499999999,75.00000000000055,65.74074074074099,13.399067101623476,13.378671023586492,13.358274945549507,0.040000000000000924,0.0,13.36,-0.08031650000000035
6,6,2019-06-26 14:20:00,13.41,13.38,13.41,13.38,479800.0,6428160.0,2019-06-26 14:20:00,2019-06-26,-0.0024949787442629656,-0.0031253098945580654,0.0006303311502950997,49.09934905763381,50.1788840417544,52.3710311182261,13.348097525,75.00000000000055,70.83333333333373,13.40350216890045,13.383106090860679,13.362710012820907,-0.009999999999999787,0.0,13.36,-0.08031650000000035
7,7,2019-06-26 14:25:00,13.39,13.37,13.4,13.37,211300.0,2827396.0,2019-06-26 14:25:00,2019-06-26,-0.0032644982828777813,-0.0031531475722220087,-0.00011135071065577259,42.12742534771329,47.77461348540292,51.552767389390056,13.35119264875,61.11111111111114,70.37037037037075,13.404381713313361,13.38398563527359,13.363589557233817,0.0,0.0,13.36,-0.08031650000000035
8,8,2019-06-26 14:30:00,13.39,13.37,13.39,13.35,327600.0,4379651.0,2019-06-26 14:30:00,2019-06-26,-0.003830195946660453,-0.0032885572471096974,-0.0005416386995507555,42.12742534771329,47.77461348540291,51.55276738939004,13.41,43.055555555555166,59.72222222222229,13.405677125313888,13.38235331774689,13.359029510179893,-0.010000000000001563,0.0,13.36,-0.08031650000000035
9,9,2019-06-26 14:35:00,13.36,13.38,13.38,13.34,1476800.0,19725180.0,2019-06-26 14:35:00,2019-06-26,-0.0034320366126259216,-0.003317253120212942,-0.00011478349241297956,52.63602923852893,50.59194049295396,52.34950642050398,13.407,41.26984126984097,48.47883597883577,13.402643631091406,13.38073472880329,13.358825826515174,-0.009999999999999787,0.0,13.36,-0.059284850000000944
10,10,2019-06-26 14:40:00,13.37,13.4,13.41,13.37,992600.0,13299781.0,2019-06-26 14:40:00,2019-06-26,-0.0014855352926552712,-0.002950909554701408,0.0014653742620461367,67.42403278921894,55.79485802242888,53.91747249635846,13.34,58.73015873015888,47.68518518518501,13.403995976973489,13.382087074685373,13.360178172397257,0.0,0.0,13.36,-0.059284850000000944
