,level_0,index,open,close,high,low,volume,money,datetime,date,MACD,MACDsignal,MACDhist,RSI5,RSI12,RSI30,SAR,slowk,slowd,upper,middle,lower,MOM,rsv,reseau,thh_sale,thh_buy,opt_result,money_total,stk_amount,total_earn
0,0,2019-01-02 09:35:00,11.71,11.66,11.74,11.65,85005.0,992050.0,2019-01-02 09:35:00,2019-01-02,,,,,,,,,,,,,,,,,,,,,
1,1,2019-01-02 09:40:00,11.7,11.65,11.7,11.65,27559.0,321600.0,2019-01-02 09:40:00,2019-01-02,,,,,,,11.7,,,,,,,,,,,,,,
2,2,2019-01-02 09:45:00,11.65,11.63,11.66,11.59,90983.0,1057043.0,2019-01-02 09:45:00,2019-01-02,,,,,,,11.7,,,,,,,,,,,,,,
3,3,2019-01-02 09:50:00,11.65,11.71,11.71,11.6,94934.0,1104248.0,2019-01-02 09:50:00,2019-01-02,,,,,,,11.59,,,,,,,,,,,,,,
4,4,2019-01-02 09:55:00,11.71,11.67,11.75,11.67,92806.0,1087912.0,2019-01-02 09:55:00,2019-01-02,,,,,,,11.59,,,,,,,,,,,,,,
5,5,2019-01-02 10:00:00,11.67,11.65,11.69,11.64,72443.0,844404.0,2019-01-02 10:00:00,2019-01-02,,,,47.05882352941182,,,11.6,,,,,,-0.009999999999999787,,,,,,,,
6,6,2019-01-02 10:05:00,11.65,11.69,11.69,11.65,23100.0,269644.0,2019-01-02 10:05:00,2019-01-02,,,,59.09090909090895,,,11.615,,,,,,0.03999999999999915,,,,,,,,
7,7,2019-01-02 10:10:00,11.69,11.67,11.69,11.66,13475.0,157292.0,2019-01-02 10:10:00,2019-01-02,,,,51.74129353233828,,,11.6285,,,,,,0.03999999999999915,,,,,,,,
8,8,2019-01-02 10:15:00,11.67,11.66,11.67,11.64,44174.0,514498.0,2019-01-02 10:15:00,2019-01-02,,,,48.00923254472016,,,11.75,,,,,,-0.05000000000000071,,,,,,,,
9,9,2019-01-02 10:20:00,11.66,11.64,11.67,11.63,47519.0,553456.0,2019-01-02 10:20:00,2019-01-02,,,,40.674651674407336,,,11.7445,,,,,,-0.02999999999999936,,,,,,,,
10,10,2019-01-02 10:25:00,11.63,11.65,11.67,11.63,28572.0,332662.0,2019-01-02 10:25:00,2019-01-02,,,,45.84553593841524,,,11.73305,,,,,,0.0,,,,,,,,
11,11,2019-01-02 10:30:00,11.65,11.65,11.69,11.65,17022.0,198448.0,2019-01-02 10:30:00,2019-01-02,,,,45.84553593841523,,,11.722745,,,,,,-0.03999999999999915,,,,,,,,
12,12,2019-01-02 10:35:00,11.65,11.64,11.66,11.62,57346.0,667338.0,2019-01-02 10:35:00,2019-01-02,,,,40.35024464038869,46.42857142857148,,11.7134705,28.739316239316775,33.42236467236506,,,,-0.02999999999999936,,,,,,,,
13,13,2019-01-02 10:40:00,11.62,11.61,11.64,11.61,31206.0,362557.0,2019-01-02 10:40:00,2019-01-02,,,,27.83744869960457,41.56976744186031,,11.699449925,16.239316239316683,26.335470085470533,,,,-0.05000000000000071,,,,,,,,
14,14,2019-01-02 10:45:00,11.62,11.68,11.68,11.62,23506.0,273617.0,2019-01-02 10:45:00,2019-01-02,,,,62.108887799922165,53.860601001669394,,11.68155994,34.2948717948722,26.424501424501887,,,,0.03999999999999915,,,,,,,,
15,15,2019-01-02 10:50:00,11.68,11.67,11.69,11.66,10234.0,119504.0,2019-01-02 10:50:00,2019-01-02,,,,57.25339123671447,52.15099191770756,,11.61,54.16666666666695,34.90028490028528,,,,0.019999999999999574,,,,,,,,
